City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
220,Gat,IL,2022-07-18 21:32:03,31.61,34.7642,300.04,79,0,0.07
221,Mokobeng,BW,2022-07-18 21:33:15,-22.9965,27.6678,286.34,65,0,2.13
222,Touros,BR,2022-07-18 21:33:16,-5.1989,-35.4608,297.81,84,85,6.54
223,Ilhabela,BR,2022-07-18 21:33:17,-23.7781,-45.3581,293.61,94,98,2.15
224,Otukpo,NG,2022-07-18 21:33:19,7.1913,8.1329,295.36,82,59,2.24
225,Havre-Saint-Pierre,CA,2022-07-18 21:33:20,50.2334,-63.5986,291.35,77,40,7.2
226,Guerrero Negro,MX,2022-07-18 21:31:29,27.9769,-114.0611,301.34,47,3,5.69
227,Tuatapere,NZ,2022-07-18 21:34:22,-46.1333,167.6833,280.29,91,100,1.55
228,Alofi,NU,2022-07-18 21:34:23,-19.0595,-169.9187,298.09,73,75,6.69
229,Tual,ID,2022-07-18 21:30:17,-5.6667,132.75,299.56,81,34,8.72
230,Taloqan,AF,2022-07-18 21:34:25,36.7361,69.5345,301.2,14,0,2.85
231,Salalah,OM,2022-07-18 21:34:26,17.0151,54.0924,299.2,89,100,1.54
232,Rock Sound,BS,2022-07-18 21:29:59,24.9,-76.2,301.33,72,5,5.02
233,Acarau,BR,2022-07-18 21:34:28,-2.8856,-40.12,298.87,72,31,7.74
234,Belle Fourche,US,2022-07-18 21:34:31,44.6714,-103.8522,312.87,14,70,5.94
235,Claveria,PH,2022-07-18 21:34:32,18.6074,121.0832,299.26,86,72,2.41
236,Olafsvik,IS,2022-07-18 21:34:33,64.8945,-23.7142,285.03,76,99,2.17
237,Cochrane,CA,2022-07-18 21:32:30,51.1834,-114.4687,291.9,68,75,4.12
238,Washington,US,2022-07-18 21:30:31,47.5001,-120.5015,300.13,34,0,3.65
239,Bud,US,2022-07-18 21:34:37,39.447,-86.1758,302.55,78,33,0.16
240,Sault Sainte Marie,CA,2022-07-18 21:30:47,46.5168,-84.3333,304.31,40,0,6.17
241,Santa Cruz,BO,2022-07-18 21:34:40,-17.8,-63.1667,299.85,57,75,5.14
242,Padang,ID,2022-07-18 21:34:41,-0.9492,100.3543,297.79,75,9,1.63
243,Xinqing,CN,2022-07-18 21:34:44,48.2333,129.5,291.12,98,100,1.12
244,Banjar,ID,2022-07-18 21:34:45,-8.19,114.9675,296.86,87,100,2.14
245,Baker City,US,2022-07-18 21:34:46,44.7749,-117.8344,297.37,35,0,2.06
246,Contai,IN,2022-07-18 21:34:47,21.7786,87.7536,301.13,85,100,4.75
247,Port Keats,AU,2022-07-18 21:34:48,-14.25,129.55,291.25,77,11,2.72
248,Eyl,SO,2022-07-18 21:34:49,7.9803,49.8164,298.26,67,98,12.18
249,Ilulissat,GL,2022-07-18 21:34:50,69.2167,-51.1,284.16,62,20,1.54
250,Mangan,IN,2022-07-18 21:31:44,27.5167,88.5333,297.49,98,100,0.47
251,Griffith,US,2022-07-18 21:34:52,41.5284,-87.4237,305.11,44,40,1.54
252,Pacific Grove,US,2022-07-18 21:30:26,36.6177,-121.9166,303.36,74,0,3.6
253,Altamont,US,2022-07-18 21:34:54,42.2068,-121.7372,305.8,17,0,3.6
254,Pangody,RU,2022-07-18 21:34:55,65.85,74.4859,285.65,68,18,3.83
255,Oussouye,SN,2022-07-18 21:34:56,12.485,-16.5469,301.25,70,84,3.36
